[Block 1 | Node 1] Verify[CR], stage: [Init]
[Block 1 | Node 1] Update[CR], stage: [Init]
[Block 2 | Node 1] Verify[CR], stage: [Init]
[Block 2 | Node 1] Update[CR], stage: [Init]
[Block 3 | Node 1] Verify[CR], stage: [Init]
[Block 1 | Node 1] Mining, stage: [Init]
[Block 1 | Node 1] Update, stage: [Init]
[Block 1 | Node 1] Verify[CR], stage: [Init]
[Block 1 | Node 1] Update[CR], stage: [Init]
[Block 2 | Node 1] Verify[CR], stage: [Init]
[Block 2 | Node 1] Update[CR], stage: [Init]
[Block 3 | Node 1] Verify[CR], stage: [Init]
[Block 3 | Node 1] Update[CR], stage: [Init]
[Block 4 | Node 1] Verify[CR], stage: [Init]
[Block 2 | Node 1] Mining, stage: [Init]
[Block 2 | Node 1] Update, stage: [Init]
[Block 1 | Node 1] Verify[CR], stage: [Init]
[Block 1 | Node 1] Update[CR], stage: [Init]
[Block 2 | Node 1] Verify[CR], stage: [Init]
[Block 2 | Node 1] Update[CR], stage: [Init]
[Block 3 | Node 1] Verify[CR], stage: [Init]
[Block 3 | Node 1] Update[CR], stage: [Init]
[Block 4 | Node 1] Verify[CR], stage: [Init]
[Block 4 | Node 1] Update[CR], stage: [Init]
[Block 5 | Node 1] Verify[CR], stage: [Init]
[Block 3 | Node 1] Mining, stage: [Init]
[Block 3 | Node 1] Update, stage: [Init]
[Block 1 | Node 1] Verify[CR], stage: [Init]
[Block 1 | Node 1] Update[CR], stage: [Init]
[Block 2 | Node 1] Verify[CR], stage: [Init]
[Block 2 | Node 1] Update[CR], stage: [Init]
[Block 3 | Node 1] Verify[CR], stage: [Init]
[Block 3 | Node 1] Update[CR], stage: [Init]
[Block 4 | Node 1] Verify[CR], stage: [Init]
[Block 4 | Node 1] Update[CR], stage: [Init]
[Block 5 | Node 1] Verify[CR], stage: [Init]
[Block 5 | Node 1] Update[CR], stage: [Init]
[Block 6 | Node 1] Verify[CR], stage: [Init]
[Block 4 | Node 1] Mining, stage: [Init]
[Block 4 | Node 1] Update, stage: [Init]
